transaction_id,posted_at,statement_number,source_drive_id,account_ending,description,supplier_normalised,debit_amount,credit_amount,running_balance,movement_class,receipt_search_status
6a7cd3924804f635e99dc905,2024-08-14,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,VISA DEBIT PURCHASE CARD 2794 WWW.AVANTIWESTCOAST.CO [REDACTED_ACCOUNT] 40.70 GBP INC O/S FEE $2.37 EFFECTIVE DATE 13 AUG 2024,WWW.AVANTIWESTCOAST.CO [REDACTED_ACCOUNT] 40.70 GBP INC O/S FEE $2.37,81.65,0.00,4765.57,EXTERNAL_EXPENDITURE,NOT_SEARCHED_OR_NOT_FOUND
07ba7d519b6dc16b56e9cfc2,2024-08-15,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,VISA DEBIT PURCHASE CARD 2794 JAMAICA WINE HOUSE LONDON EC3V 14.50 GBP INC O/S FEE $0.84 EFFECTIVE DATE 14 AUG 2024,JAMAICA WINE HOUSE LONDON EC3V 14.50 GBP INC O/S FEE $0.84,29.09,0.00,4736.48,EXTERNAL_EXPENDITURE,NOT_SEARCHED_OR_NOT_FOUND
6dc20ba15756f1d88c56520f,2024-08-15,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,ANZ INTERNET BANKING FUNDS TFER TRANSFER [REDACTED_ACCOUNT] TO [REDACTED_ACCOUNT],TRANSFER [REDACTED_ACCOUNT] TO [REDACTED_ACCOUNT],93.15,0.00,4643.33,TRANSFER_REVIEW,NOT_SEARCHED_OR_NOT_FOUND
e2290b60a79deec1bdc6ef98,2024-08-16,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,VISA DEBIT PURCHASE CARD 2794 UBER *TRIP HELP.UBER.COM 13.90 GBP INC O/S FEE $0.81 EFFECTIVE DATE 14 AUG 2024,UBER *TRIP HELP.UBER.COM 13.90 GBP INC O/S FEE $0.81,27.84,0.00,4615.49,EXTERNAL_EXPENDITURE,CANDIDATE_EMAIL_FOUND
0714bb5a0ce3443a1a2950f4,2024-08-19,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,VISA DEBIT PURCHASE CARD 2794 KIMPTON CLOCK TOWER MANCH MANCHESTER EFFECTIVE DATE 16 AUG 2024,KIMPTON CLOCK TOWER MANCH MANCHESTER,1.61,0.00,4613.88,EXTERNAL_EXPENDITURE,NOT_SEARCHED_OR_NOT_FOUND
ed334c332a993d8ecc7287b8,2024-08-19,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,VISA DEBIT PURCHASE CARD 2794 BRODERICK VEND MANCHESTER 2.00 GBP INC O/S FEE $0.11 EFFECTIVE DATE 17 AUG 2024,BRODERICK VEND MANCHESTER 2.00 GBP INC O/S FEE $0.11,4.03,0.00,4609.85,EXTERNAL_EXPENDITURE,NOT_SEARCHED_OR_NOT_FOUND
3c2acf172296c858e805b0fa,2024-08-19,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,VISA DEBIT PURCHASE CARD 2794 SAINSBURYS S/MKTS WHITWORTH STR 4.85 GBP INC O/S FEE $0.28 EFFECTIVE DATE 16 AUG 2024,SAINSBURYS S/MKTS WHITWORTH STR 4.85 GBP INC O/S FEE $0.28,9.76,0.00,4600.09,EXTERNAL_EXPENDITURE,NOT_SEARCHED_OR_NOT_FOUND
3b42e49ad74855e26b7fbee5,2024-08-19,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,VISA DEBIT PURCHASE CARD 2794 INTERCONTINENTAL LONDON T LONDON 11.02 GBP INC O/S FEE $0.64 EFFECTIVE DATE 15 AUG 2024,INTERCONTINENTAL LONDON T LONDON 11.02 GBP INC O/S FEE $0.64,22.07,0.00,4578.02,EXTERNAL_EXPENDITURE,NOT_SEARCHED_OR_NOT_FOUND
d8981dbbedbf9fc348f94f75,2024-08-19,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,VISA DEBIT PURCHASE CARD 2794 UBER *TRIP HELP.UBER.COM 23.96 GBP INC O/S FEE $1.40 EFFECTIVE DATE 16 AUG 2024,UBER *TRIP HELP.UBER.COM 23.96 GBP INC O/S FEE $1.40,48.21,0.00,4529.81,EXTERNAL_EXPENDITURE,CANDIDATE_EMAIL_FOUND
146443f70cbd47bda74cd261,2024-08-19,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,VISA DEBIT PURCHASE CARD 2794 COLES EXPRESS 1536 BRIGHTON-LE-S EFFECTIVE DATE 15 AUG 2024,COLES EXPRESS 1536 BRIGHTON-LE-S,52.57,0.00,4477.24,EXTERNAL_EXPENDITURE,NOT_SEARCHED_OR_NOT_FOUND
114fef9f796e66cf476d64d1,2024-08-19,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,"VISA DEBIT PURCHASE CARD 2794 F4P02 MARKETPLACE ISTANBUL 1,869.96 TRY INC O/S FEE $2.52 EFFECTIVE DATE 17 AUG 2024","F4P02 MARKETPLACE ISTANBUL 1,869.96 TRY INC O/S FEE $2.52",86.78,0.00,4390.46,EXTERNAL_EXPENDITURE,NOT_SEARCHED_OR_NOT_FOUND
a0c7b7a6f287432d3b4c123f,2024-08-20,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,VISA DEBIT PURCHASE CARD 2794 UBER *TRIP HELP.UBER.COM AMSTERDAM 11.00 EUR INC O/S FEE $0.54 EFFECTIVE DATE 18 AUG 2024,UBER *TRIP HELP.UBER.COM AMSTERDAM 11.00 EUR INC O/S FEE $0.54,18.82,0.00,4371.64,EXTERNAL_EXPENDITURE,CANDIDATE_EMAIL_FOUND
e07681064a6d07c2393a1922,2024-08-20,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,VISA DEBIT PURCHASE CARD 2794 UBER *TRIP HELP.UBER.COM 45.00 EUR INC O/S FEE $2.24 EFFECTIVE DATE 17 AUG 2024,UBER *TRIP HELP.UBER.COM 45.00 EUR INC O/S FEE $2.24,77.00,0.00,4294.64,EXTERNAL_EXPENDITURE,CANDIDATE_EMAIL_FOUND
20138e37d4d3bfc23c6a6187,2024-08-21,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,VISA DEBIT PURCHASE CARD 2794 ATHANASIOS VADOKAS KAFE A KIFISSOY 3 3.70 EUR INC O/S FEE $0.18 EFFECTIVE DATE 18 AUG 2024,ATHANASIOS VADOKAS KAFE A KIFISSOY 3 3.70 EUR INC O/S FEE $0.18,6.33,0.00,4288.31,EXTERNAL_EXPENDITURE,NOT_SEARCHED_OR_NOT_FOUND
952e61b3a06d83e8626013d4,2024-08-21,18,1r9X-vWMVnRQk9AcG1BjuHJXC0Ewm_HYo,8406,VISA DEBIT PURCHASE CARD 2794 LEON AE SOFOKLEOYS 3.78 EUR INC O/S FEE $0.18 EFFECTIVE DATE 17 AUG 2024,LEON AE SOFOKLEOYS 3.78 EUR INC O/S FEE $0.18,6.47,0.00,4281.84,EXTERNAL_EXPENDITURE,NOT_SEARCHED_OR_NOT_FOUND
