rule_id,title,intent,rule,triggers,actions,anti_patterns,evidence_required,system_targets,priority,version,status,last_updated,notes
SEARCH_MANDATORY,Search is Mandatory,Ensure no task stalls due to missing info,"Agents must perform multi-source search before declaring information missing","missing_information;task_execution","search_local;search_docs;search_repos;search_logs;escalate_library_lenny;escalate_bridge","declaring_missing_without_search;waiting_for_human","sources_checked_log;query_attempts;result_status","LLM;Bridge;CommandCentre;Agents",high,1.0,active,2026-05-01,
NO_PASSIVE_WAIT,No Passive Waiting,Remove human dependency,"Agents must not pause or wait for human input when blocked by missing information","task_blocked;missing_info","continue_search;escalate;loop_queries","waiting_for_user;idle_state","execution_log;retry_log","LLM;Agents",high,1.0,active,2026-05-01,
PERSISTENT_QUERY_LOOP,Persistent Query Loop,Force resolution or proof of absence,"Agents must continue querying until information is found, confirmed missing, or retrieved by another agent","search_started","retry_alt_sources;cross_system_queries","single_attempt_search","query_history;final_status","Agents;Bridge",high,1.0,active,2026-05-01,
MULTI_SOURCE_SEARCH,Multi-Source Search,Prevent blind spots,"Agents must search across all available sources, not just one","search_required","local;docs;github;drive;logs;bridge","single_source_only","sources_checked_list","Agents",high,1.0,active,2026-05-01,
SCRATCHPAD_UPDATE,Log Gaps to Scratchpad,Create system learning loop,"If information is missing or hard to find, agents must log it in the scratchpad","search_failed;hard_to_find","log_gap;tag_issue","ignoring_gap","scratchpad_entry","Agents;CommandCentre",high,1.0,active,2026-05-01,
LIBRARY_CORRECTION,Fix the Library,Improve future retrieval,"If information is found but poorly located, agents must flag or fix its placement","info_found","update_index;recommend_move","leaving_misplaced_data","update_log","Agents;Library",medium,1.0,active,2026-05-01,
NO_SINGLE_POINT_FAILURE,No Single Source Failure,Increase resilience,"Failure in one source must not stop search","source_failed","switch_source;continue_search","stopping_after_one_failure","retry_log","Agents",high,1.0,active,2026-05-01,
RECORD_SEARCH_OUTCOME,Record Search Outcome,Ensure traceability,"All searches must log result, sources checked, and outcome","search_complete","log_result;log_sources","no_logging","search_record","Agents;Ledger",high,1.0,active,2026-05-01,
SHARED_VISIBILITY,Shared Knowledge,Reduce repeated effort,"All found information must be placed in shared-access systems","info_resolved","store_shared;index","private_storage","storage_record","Agents;Library",medium,1.0,active,2026-05-01,
SYSTEM_FEEDBACK_LOOP,System Feedback Loop,Drive continuous improvement,"Repeated failures must trigger system improvement actions","repeat_failures","create_fix_task;improve_index","ignoring_patterns","task_created","CommandCentre;Agents",high,1.0,active,2026-05-01,
WRITEBACK_REQUIRED,Writeback Required,Prevent knowledge loss,"Any created or discovered information must be written back to a system of record","task_complete;info_created","write_to_registry;update_docs","ephemeral_outputs","writeback_log","All",critical,1.0,active,2026-05-01,core rule
CONTRIBUTION_STANDARD,Rule Contribution Standard,Ensure quality of new rules,"All new house rules must follow the shared structure and include enforceable actions and evidence","new_rule_created","validate_structure;assign_fields;append_only_or_version_bump","vague_rules;no_enforcement;silent_overwrite","complete_row;version_history","Agents;RulesRegistry",high,1.0,active,2026-05-01,house rules are shared operating rules not personal rules
